Year,level,country_code,country_name,school_type,duration_days_fixed_exclusions,fixed_excl
201516,National,E92000001,England,Total,Total,339360
201516,National,E92000001,England,Total,1,155250
201516,National,E92000001,England,Total,2,80695
201516,National,E92000001,England,Total,3,46735
201516,National,E92000001,England,Total,4,11625
201516,National,E92000001,England,Total,5,37245
201516,National,E92000001,England,Total,6,1600
201516,National,E92000001,England,Total,7,710
201516,National,E92000001,England,Total,8,550
201516,National,E92000001,England,Total,9,310
201516,National,E92000001,England,Total,10,2480
201516,National,E92000001,England,Total,11,235
201516,National,E92000001,England,Total,12,225
201516,National,E92000001,England,Total,13,140
201516,National,E92000001,England,Total,14,180
201516,National,E92000001,England,Total,15,735
201516,National,E92000001,England,Total,16,145
201516,National,E92000001,England,Total,17,65
201516,National,E92000001,England,Total,18,40
201516,National,E92000001,England,Total,19,30
201516,National,E92000001,England,Total,20,125
201516,National,E92000001,England,Total,21,20
201516,National,E92000001,England,Total,22,20
201516,National,E92000001,England,Total,23,20
201516,National,E92000001,England,Total,24,15
201516,National,E92000001,England,Total,25,20
201516,National,E92000001,England,Total,26,10
201516,National,E92000001,England,Total,27,15
201516,National,E92000001,England,Total,28,5
201516,National,E92000001,England,Total,29,10
201516,National,E92000001,England,Total,30,10
201516,National,E92000001,England,Total,31,10
201516,National,E92000001,England,Total,32,15
201516,National,E92000001,England,Total,33,5
201516,National,E92000001,England,Total,34,5
201516,National,E92000001,England,Total,35,10
201516,National,E92000001,England,Total,36,5
201516,National,E92000001,England,Total,37,10
201516,National,E92000001,England,Total,38,5
201516,National,E92000001,England,Total,39,5
201516,National,E92000001,England,Total,40,5
201516,National,E92000001,England,Total,41,5
201516,National,E92000001,England,Total,42,x
201516,National,E92000001,England,Total,43,5
201516,National,E92000001,England,Total,44,5
201516,National,E92000001,England,Total,45,10
201516,National,E92000001,England,Total,46 or more,5
201516,National,E92000001,England,State-funded primary,Total,55740
201516,National,E92000001,England,State-funded primary,1,25605
201516,National,E92000001,England,State-funded primary,2,15515
201516,National,E92000001,England,State-funded primary,3,7115
201516,National,E92000001,England,State-funded primary,4,2575
201516,National,E92000001,England,State-funded primary,5,3720
201516,National,E92000001,England,State-funded primary,6,430
201516,National,E92000001,England,State-funded primary,7,160
201516,National,E92000001,England,State-funded primary,8,85
201516,National,E92000001,England,State-funded primary,9,60
201516,National,E92000001,England,State-funded primary,10,195
201516,National,E92000001,England,State-funded primary,11,50
201516,National,E92000001,England,State-funded primary,12,25
201516,National,E92000001,England,State-funded primary,13,35
201516,National,E92000001,England,State-funded primary,14,25
201516,National,E92000001,England,State-funded primary,15,35
201516,National,E92000001,England,State-funded primary,16,15
201516,National,E92000001,England,State-funded primary,17,10
201516,National,E92000001,England,State-funded primary,18,10
201516,National,E92000001,England,State-funded primary,19,10
201516,National,E92000001,England,State-funded primary,20,10
201516,National,E92000001,England,State-funded primary,21,5
201516,National,E92000001,England,State-funded primary,22,5
201516,National,E92000001,England,State-funded primary,23,5
201516,National,E92000001,England,State-funded primary,24,5
201516,National,E92000001,England,State-funded primary,25,x
201516,National,E92000001,England,State-funded primary,26,5
201516,National,E92000001,England,State-funded primary,27,5
201516,National,E92000001,England,State-funded primary,28,x
201516,National,E92000001,England,State-funded primary,29,5
201516,National,E92000001,England,State-funded primary,30,x
201516,National,E92000001,England,State-funded primary,31,x
201516,National,E92000001,England,State-funded primary,32,x
201516,National,E92000001,England,State-funded primary,33,x
201516,National,E92000001,England,State-funded primary,34,x
201516,National,E92000001,England,State-funded primary,35,x
201516,National,E92000001,England,State-funded primary,37,x
201516,National,E92000001,England,State-funded primary,38,x
201516,National,E92000001,England,State-funded primary,44,x
201516,National,E92000001,England,State-funded primary,45,x
201516,National,E92000001,England,State-funded secondary,Total,270135
201516,National,E92000001,England,State-funded secondary,1,122310
201516,National,E92000001,England,State-funded secondary,2,62135
201516,National,E92000001,England,State-funded secondary,3,38255
201516,National,E92000001,England,State-funded secondary,4,8585
201516,National,E92000001,England,State-funded secondary,5,32585
201516,National,E92000001,England,State-funded secondary,6,1105
201516,National,E92000001,England,State-funded secondary,7,500
201516,National,E92000001,England,State-funded secondary,8,440
201516,National,E92000001,England,State-funded secondary,9,225
201516,National,E92000001,England,State-funded secondary,10,2220
201516,National,E92000001,England,State-funded secondary,11,160
201516,National,E92000001,England,State-funded secondary,12,180
201516,National,E92000001,England,State-funded secondary,13,95
201516,National,E92000001,England,State-funded secondary,14,155
201516,National,E92000001,England,State-funded secondary,15,685
201516,National,E92000001,England,State-funded secondary,16,130
201516,National,E92000001,England,State-funded secondary,17,50
201516,National,E92000001,England,State-funded secondary,18,25
201516,National,E92000001,England,State-funded secondary,19,20
201516,National,E92000001,England,State-funded secondary,20,110
201516,National,E92000001,England,State-funded secondary,21,20
201516,National,E92000001,England,State-funded secondary,22,10
201516,National,E92000001,England,State-funded secondary,23,10
201516,National,E92000001,England,State-funded secondary,24,10
201516,National,E92000001,England,State-funded secondary,25,15
201516,National,E92000001,England,State-funded secondary,26,5
201516,National,E92000001,England,State-funded secondary,27,10
201516,National,E92000001,England,State-funded secondary,28,5
201516,National,E92000001,England,State-funded secondary,29,5
201516,National,E92000001,England,State-funded secondary,30,10
201516,National,E92000001,England,State-funded secondary,31,5
201516,National,E92000001,England,State-funded secondary,32,10
201516,National,E92000001,England,State-funded secondary,33,5
201516,National,E92000001,England,State-funded secondary,34,5
201516,National,E92000001,England,State-funded secondary,35,5
201516,National,E92000001,England,State-funded secondary,36,5
201516,National,E92000001,England,State-funded secondary,37,5
201516,National,E92000001,England,State-funded secondary,38,x
201516,National,E92000001,England,State-funded secondary,39,x
201516,National,E92000001,England,State-funded secondary,40,x
201516,National,E92000001,England,State-funded secondary,41,5
201516,National,E92000001,England,State-funded secondary,42,x
201516,National,E92000001,England,State-funded secondary,43,x
201516,National,E92000001,England,State-funded secondary,44,5
201516,National,E92000001,England,State-funded secondary,45,10
201516,National,E92000001,England,State-funded secondary,46 or more,5
201516,National,E92000001,England,Special school,Total,13485
201516,National,E92000001,England,Special school,1,7335
201516,National,E92000001,England,Special school,2,3045
201516,National,E92000001,England,Special school,3,1365
201516,National,E92000001,England,Special school,4,460
201516,National,E92000001,England,Special school,5,940
201516,National,E92000001,England,Special school,6,65
201516,National,E92000001,England,Special school,7,50
201516,National,E92000001,England,Special school,8,25
201516,National,E92000001,England,Special school,9,20
201516,National,E92000001,England,Special school,10,65
201516,National,E92000001,England,Special school,11,20
201516,National,E92000001,England,Special school,12,25
201516,National,E92000001,England,Special school,13,5
201516,National,E92000001,England,Special school,14,x
