Year,level,country_code,country_name,school_type,fixed_excl,headcount
201516,National,E92000001,England,Total,Total,167125
201516,National,E92000001,England,Total,1,99605
201516,National,E92000001,England,Total,2,30985
201516,National,E92000001,England,Total,3,14695
201516,National,E92000001,England,Total,4,8195
201516,National,E92000001,England,Total,5,4790
201516,National,E92000001,England,Total,6,2915
201516,National,E92000001,England,Total,7,1825
201516,National,E92000001,England,Total,8,1165
201516,National,E92000001,England,Total,9,805
201516,National,E92000001,England,Total,10,560
201516,National,E92000001,England,Total,11,370
201516,National,E92000001,England,Total,12,270
201516,National,E92000001,England,Total,13,205
201516,National,E92000001,England,Total,14,150
201516,National,E92000001,England,Total,15,110
201516,National,E92000001,England,Total,16,95
201516,National,E92000001,England,Total,17,60
201516,National,E92000001,England,Total,18,50
201516,National,E92000001,England,Total,19,45
201516,National,E92000001,England,Total,20,30
201516,National,E92000001,England,Total,21,20
201516,National,E92000001,England,Total,22,20
201516,National,E92000001,England,Total,23,25
201516,National,E92000001,England,Total,24,15
201516,National,E92000001,England,Total,25,15
201516,National,E92000001,England,Total,26,20
201516,National,E92000001,England,Total,27,10
201516,National,E92000001,England,Total,28,10
201516,National,E92000001,England,Total,29,10
201516,National,E92000001,England,Total,30,5
201516,National,E92000001,England,Total,31,10
201516,National,E92000001,England,Total,32,5
201516,National,E92000001,England,Total,33,5
201516,National,E92000001,England,Total,34,10
201516,National,E92000001,England,Total,35,5
201516,National,E92000001,England,Total,36,5
201516,National,E92000001,England,Total,37,x
201516,National,E92000001,England,Total,38,5
201516,National,E92000001,England,Total,39,x
201516,National,E92000001,England,Total,40,x
201516,National,E92000001,England,Total,41,x
201516,National,E92000001,England,Total,42,5
201516,National,E92000001,England,Total,43,x
201516,National,E92000001,England,Total,44,x
201516,National,E92000001,England,Total,48,5
201516,National,E92000001,England,Total,52,x
201516,National,E92000001,England,Total,53,x
201516,National,E92000001,England,Total,55,x
201516,National,E92000001,England,Total,68,x
201516,National,E92000001,England,State-funded primary,Total,25765
201516,National,E92000001,England,State-funded primary,1,14095
201516,National,E92000001,England,State-funded primary,2,4980
201516,National,E92000001,England,State-funded primary,3,2625
201516,National,E92000001,England,State-funded primary,4,1560
201516,National,E92000001,England,State-funded primary,5,910
201516,National,E92000001,England,State-funded primary,6,580
201516,National,E92000001,England,State-funded primary,7,335
201516,National,E92000001,England,State-funded primary,8,210
201516,National,E92000001,England,State-funded primary,9,155
201516,National,E92000001,England,State-funded primary,10,80
201516,National,E92000001,England,State-funded primary,11,60
201516,National,E92000001,England,State-funded primary,12,50
201516,National,E92000001,England,State-funded primary,13,45
201516,National,E92000001,England,State-funded primary,14,20
201516,National,E92000001,England,State-funded primary,15,20
201516,National,E92000001,England,State-funded primary,16,10
201516,National,E92000001,England,State-funded primary,17,10
201516,National,E92000001,England,State-funded primary,18,5
201516,National,E92000001,England,State-funded primary,19,5
201516,National,E92000001,England,State-funded primary,20,x
201516,National,E92000001,England,State-funded primary,21,x
201516,National,E92000001,England,State-funded primary,22,5
201516,National,E92000001,England,State-funded primary,23,5
201516,National,E92000001,England,State-funded primary,26,x
201516,National,E92000001,England,State-funded primary,31,x
201516,National,E92000001,England,State-funded primary,48,x
201516,National,E92000001,England,State-funded primary,55,x
201516,National,E92000001,England,State-funded primary,68,x
201516,National,E92000001,England,State-funded secondary,Total,135925
201516,National,E92000001,England,State-funded secondary,1,82945
201516,National,E92000001,England,State-funded secondary,2,24830
201516,National,E92000001,England,State-funded secondary,3,11445
201516,National,E92000001,England,State-funded secondary,4,6250
201516,National,E92000001,England,State-funded secondary,5,3675
201516,National,E92000001,England,State-funded secondary,6,2190
201516,National,E92000001,England,State-funded secondary,7,1380
201516,National,E92000001,England,State-funded secondary,8,885
201516,National,E92000001,England,State-funded secondary,9,605
201516,National,E92000001,England,State-funded secondary,10,445
201516,National,E92000001,England,State-funded secondary,11,290
201516,National,E92000001,England,State-funded secondary,12,205
201516,National,E92000001,England,State-funded secondary,13,145
201516,National,E92000001,England,State-funded secondary,14,120
201516,National,E92000001,England,State-funded secondary,15,80
201516,National,E92000001,England,State-funded secondary,16,75
201516,National,E92000001,England,State-funded secondary,17,45
201516,National,E92000001,England,State-funded secondary,18,45
201516,National,E92000001,England,State-funded secondary,19,40
201516,National,E92000001,England,State-funded secondary,20,30
201516,National,E92000001,England,State-funded secondary,21,15
201516,National,E92000001,England,State-funded secondary,22,15
201516,National,E92000001,England,State-funded secondary,23,20
201516,National,E92000001,England,State-funded secondary,24,15
201516,National,E92000001,England,State-funded secondary,25,15
201516,National,E92000001,England,State-funded secondary,26,15
201516,National,E92000001,England,State-funded secondary,27,10
201516,National,E92000001,England,State-funded secondary,28,10
201516,National,E92000001,England,State-funded secondary,29,10
201516,National,E92000001,England,State-funded secondary,30,5
201516,National,E92000001,England,State-funded secondary,31,10
201516,National,E92000001,England,State-funded secondary,32,5
201516,National,E92000001,England,State-funded secondary,33,5
201516,National,E92000001,England,State-funded secondary,34,10
201516,National,E92000001,England,State-funded secondary,35,5
201516,National,E92000001,England,State-funded secondary,36,5
201516,National,E92000001,England,State-funded secondary,37,x
201516,National,E92000001,England,State-funded secondary,38,5
201516,National,E92000001,England,State-funded secondary,39,x
201516,National,E92000001,England,State-funded secondary,40,x
201516,National,E92000001,England,State-funded secondary,41,x
201516,National,E92000001,England,State-funded secondary,42,5
201516,National,E92000001,England,State-funded secondary,43,x
201516,National,E92000001,England,State-funded secondary,44,x
201516,National,E92000001,England,State-funded secondary,48,x
201516,National,E92000001,England,State-funded secondary,52,x
201516,National,E92000001,England,State-funded secondary,53,x
201516,National,E92000001,England,State-funded secondary,55,x
201516,National,E92000001,England,Special school,Total,5440
201516,National,E92000001,England,Special school,1,2565
201516,National,E92000001,England,Special school,2,1170
201516,National,E92000001,England,Special school,3,625
201516,National,E92000001,England,Special school,4,385
201516,National,E92000001,England,Special school,5,205
201516,National,E92000001,England,Special school,6,145
201516,National,E92000001,England,Special school,7,110
201516,National,E92000001,England,Special school,8,70
201516,National,E92000001,England,Special school,9,40
201516,National,E92000001,England,Special school,10,35
201516,National,E92000001,England,Special school,11,20
201516,National,E92000001,England,Special school,12,15
201516,National,E92000001,England,Special school,13,15
201516,National,E92000001,England,Special school,14,10
201516,National,E92000001,England,Special school,15,10
201516,National,E92000001,England,Special school,16,5
201516,National,E92000001,England,Special school,17,5
201516,National,E92000001,England,Special school,19,x
201516,National,E92000001,England,Special school,20,x
201516,National,E92000001,England,Special school,21,x
201516,National,E92000001,England,Special school,22,x
201516,National,E92000001,England,Special school,23,x
201516,National,E92000001,England,Special school,25,x
201516,National,E92000001,England,Special school,26,x
201516,National,E92000001,England,Special school,29,x
201415,National,E92000001,England,Total,Total,154060
201415,National,E92000001,England,Total,1,93525
201415,National,E92000001,England,Total,2,28260
