Year,Measure,School_type,Indicator,Count
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number of reviews lodged,460
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number of reviews determined,420
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage of reviews determined,91.3
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number where SEN expert requested,230
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage where SEN expert requested,54.9
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number upholding exclusion,295
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage upholding exclusion,70.3
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number recommending reconsideration,65
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage recommending reconsideration,15.4
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number offered reinstatement when recommended,5
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage offered reinstatement when recommended,7.7
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number directing reconsideration,60
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage directing reconsideration,14.3
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Number offered reinstatement when directed,15
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools and academies",Percentage offered reinstatement when directed,28.3
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number of reviews lodged,235
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number of reviews determined,215
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Percentage of reviews determined,91.9
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number where SEN expert requested,125
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Percentage where SEN expert requested,58.1
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number upholding exclusion,155
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Percentage upholding exclusion,71.6
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number recommending reconsideration,30
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Percentage recommending reconsideration,14
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number offered reinstatement when recommended,x
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Percentage offered reinstatement when recommended,x
2015/16,Exclusion reviews,"Maintained primary, secondary and special schools",Number directing reconsideration,30
