Year,level,country_code,country_name,school_type,total_length_days_fixed_exclusions,headcount
201516,National,E92000001,England,Total,Total,167125
201516,National,E92000001,England,Total,1,47785
201516,National,E92000001,England,Total,2,31300
201516,National,E92000001,England,Total,3,21825
201516,National,E92000001,England,Total,4,10325
201516,National,E92000001,England,Total,5,17210
201516,National,E92000001,England,Total,6,6530
201516,National,E92000001,England,Total,7,4935
201516,National,E92000001,England,Total,8,4535
201516,National,E92000001,England,Total,9,3035
201516,National,E92000001,England,Total,10,3950
201516,National,E92000001,England,Total,11,2165
201516,National,E92000001,England,Total,12,1875
201516,National,E92000001,England,Total,13,1580
201516,National,E92000001,England,Total,14,1320
201516,National,E92000001,England,Total,15,1660
201516,National,E92000001,England,Total,16,975
201516,National,E92000001,England,Total,17,780
201516,National,E92000001,England,Total,18,725
201516,National,E92000001,England,Total,19,575
201516,National,E92000001,England,Total,20,630
201516,National,E92000001,England,Total,21,425
201516,National,E92000001,England,Total,22,345
201516,National,E92000001,England,Total,23,320
201516,National,E92000001,England,Total,24,245
201516,National,E92000001,England,Total,25,235
201516,National,E92000001,England,Total,26,190
201516,National,E92000001,England,Total,27,190
201516,National,E92000001,England,Total,28,160
201516,National,E92000001,England,Total,29,135
201516,National,E92000001,England,Total,30,170
201516,National,E92000001,England,Total,31,85
201516,National,E92000001,England,Total,32,90
201516,National,E92000001,England,Total,33,90
201516,National,E92000001,England,Total,34,70
201516,National,E92000001,England,Total,35,80
201516,National,E92000001,England,Total,36,50
201516,National,E92000001,England,Total,37,50
201516,National,E92000001,England,Total,38,50
201516,National,E92000001,England,Total,39,45
201516,National,E92000001,England,Total,40,55
201516,National,E92000001,England,Total,41,25
201516,National,E92000001,England,Total,42,50
201516,National,E92000001,England,Total,43,40
201516,National,E92000001,England,Total,44,45
201516,National,E92000001,England,Total,45,95
201516,National,E92000001,England,Total,46 or more,75
201516,National,E92000001,England,State-funded primary,Total,25765
201516,National,E92000001,England,State-funded primary,1,7540
201516,National,E92000001,England,State-funded primary,2,5385
201516,National,E92000001,England,State-funded primary,3,3240
201516,National,E92000001,England,State-funded primary,4,1820
201516,National,E92000001,England,State-funded primary,5,1805
201516,National,E92000001,England,State-funded primary,6,1050
201516,National,E92000001,England,State-funded primary,7,775
201516,National,E92000001,England,State-funded primary,8,705
201516,National,E92000001,England,State-funded primary,9,545
201516,National,E92000001,England,State-funded primary,10,500
201516,National,E92000001,England,State-funded primary,11,370
201516,National,E92000001,England,State-funded primary,12,320
201516,National,E92000001,England,State-funded primary,13,255
201516,National,E92000001,England,State-funded primary,14,245
201516,National,E92000001,England,State-funded primary,15,215
201516,National,E92000001,England,State-funded primary,16,160
201516,National,E92000001,England,State-funded primary,17,130
201516,National,E92000001,England,State-funded primary,18,110
201516,National,E92000001,England,State-funded primary,19,100
201516,National,E92000001,England,State-funded primary,20,85
201516,National,E92000001,England,State-funded primary,21,55
201516,National,E92000001,England,State-funded primary,22,55
201516,National,E92000001,England,State-funded primary,23,45
201516,National,E92000001,England,State-funded primary,24,30
201516,National,E92000001,England,State-funded primary,25,25
201516,National,E92000001,England,State-funded primary,26,20
201516,National,E92000001,England,State-funded primary,27,25
201516,National,E92000001,England,State-funded primary,28,15
201516,National,E92000001,England,State-funded primary,29,20
201516,National,E92000001,England,State-funded primary,30,15
201516,National,E92000001,England,State-funded primary,31,10
201516,National,E92000001,England,State-funded primary,32,10
201516,National,E92000001,England,State-funded primary,33,15
201516,National,E92000001,England,State-funded primary,34,10
201516,National,E92000001,England,State-funded primary,35,10
201516,National,E92000001,England,State-funded primary,36,5
201516,National,E92000001,England,State-funded primary,37,5
201516,National,E92000001,England,State-funded primary,38,10
201516,National,E92000001,England,State-funded primary,39,5
201516,National,E92000001,England,State-funded primary,40,5
201516,National,E92000001,England,State-funded primary,41,5
201516,National,E92000001,England,State-funded primary,42,x
201516,National,E92000001,England,State-funded primary,43,5
201516,National,E92000001,England,State-funded primary,44,5
201516,National,E92000001,England,State-funded primary,45,5
201516,National,E92000001,England,State-funded primary,46 or more,10
201516,National,E92000001,England,State-funded secondary,Total,135925
201516,National,E92000001,England,State-funded secondary,1,38895
201516,National,E92000001,England,State-funded secondary,2,24905
201516,National,E92000001,England,State-funded secondary,3,17870
201516,National,E92000001,England,State-funded secondary,4,8070
201516,National,E92000001,England,State-funded secondary,5,14960
201516,National,E92000001,England,State-funded secondary,6,5210
201516,National,E92000001,England,State-funded secondary,7,3960
201516,National,E92000001,England,State-funded secondary,8,3685
201516,National,E92000001,England,State-funded secondary,9,2365
201516,National,E92000001,England,State-funded secondary,10,3335
201516,National,E92000001,England,State-funded secondary,11,1705
201516,National,E92000001,England,State-funded secondary,12,1480
201516,National,E92000001,England,State-funded secondary,13,1260
201516,National,E92000001,England,State-funded secondary,14,1015
201516,National,E92000001,England,State-funded secondary,15,1390
201516,National,E92000001,England,State-funded secondary,16,780
201516,National,E92000001,England,State-funded secondary,17,620
201516,National,E92000001,England,State-funded secondary,18,585
201516,National,E92000001,England,State-funded secondary,19,450
