"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","National","England","Total","21319","8025075","7720","0.1","381865","4.76","183475","2.29"
"201617","National","England","Primary","16837","4689660","1255","0.03","64340","1.37","28940","0.62"
"201617","National","England","Secondary","3451","3223090","6385","0.2","302890","9.4","148820","4.62"
"201617","National","England","Special","1031","112325","80","0.07","14635","13.03","5715","5.09"
"201617","Region","North East","Total","1112","385875","415","0.11","22830","5.92","8845","2.29"
"201617","Region","North East","Primary","861","223500","25","0.01","1910","0.86","860","0.38"
"201617","Region","North East","Secondary","188","155115","390","0.25","20010","12.9","7590","4.89"
"201617","Region","North East","Special","63","7260","5","0.06","905","12.47","395","5.44"
"201617","Region","North West","Total","3093","1081035","1475","0.14","49115","4.54","24775","2.29"
"201617","Region","North West","Primary","2455","648710","190","0.03","7655","1.18","3670","0.57"
"201617","Region","North West","Secondary","472","416090","1280","0.31","39190","9.42","20230","4.86"
"201617","Region","North West","Special","166","16235","5","0.02","2270","13.98","875","5.38"
"201617","Region","Yorkshire and the Humber","Total","2195","819505","605","0.07","59170","7.22","22075","2.69"
"201617","Region","Yorkshire and the Humber","Primary","1794","490515","80","0.02","7465","1.52","3150","0.64"
"201617","Region","Yorkshire and the Humber","Secondary","320","319770","520","0.16","51125","15.99","18660","5.84"
"201617","Region","Yorkshire and the Humber","Special","81","9220","x","x","575","6.26","265","2.87"
"201617","Region","East Midlands","Total","2023","688545","595","0.09","31710","4.61","14870","2.16"
"201617","Region","East Midlands","Primary","1642","401735","125","0.03","4975","1.24","2325","0.58"
"201617","Region","East Midlands","Secondary","299","278180","460","0.17","25910","9.31","12185","4.38"
"201617","Region","East Midlands","Special","82","8630","5","0.08","830","9.6","360","4.2"
"201617","Region","West Midlands","Total","2330","899110","1215","0.14","41965","4.67","21725","2.42"
"201617","Region","West Midlands","Primary","1780","521270","275","0.05","8175","1.57","3925","0.75"
