"year","la_name","school_type","perm_physical_pupils","perm_physical_adult","perm_verbal_pupil","perm_verbal_adult","perm_bullying","perm_racist_abuse","perm_sexual_misconduct","perm_drug_alcohol","perm_damage","perm_theft","perm_persistent_disruptive","perm_other","fixed_physical_pupils","fixed_physical_adult","fixed_verbal_pupil","fixed_verbal_adult","fixed_bullying","fixed_racist_abuse","fixed_sexual_misconduct","fixed_drug_alcohol","fixed_damage","fixed_theft","fixed_persistent_disruptive","fixed_other"
"201617","England","Total","1025","745","330","655","25","25","105","565","95","40","2755","1355","64355","26695","15170","59675","4250","4565","2235","9075","7685","4320","108640","75195"
"201617","England","State-funded primary","160","380","45","105","5","5","15","x","20","0","440","80","13405","17500","2520","6220","395","470","225","45","1415","195","17755","4190"
"201617","England","State-funded secondary","860","330","280","545","20","20","85","565","75","40","2295","1265","48610","5075","12150","51835","3590","3870","1930","8820","5290","4065","88165","69495"
"201617","England","Special","5","30","x","5","x","x","5","x","x","0","20","10","2345","4120","500","1615","265","225","80","215","985","60","2715","1510"
"201617","City of London","Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"201617","City of London","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"201617","Camden","Total","7","x","x","4","0","0","0","x","0","0","4","10","238","76","59","153","19","15","7","15","12","9","222","180"
"201617","Camden","State-funded primary","0","0","0","0","0","0","0","0","0","0","x","0","22","27","x","17","x","0","0","0","x","0","33","x"
"201617","Camden","State-funded secondary","7","x","x","4","0","0","0","x","0","0","3","10","207","22","56","135","17","14","6","14","9","9","189","177"
"201617","Camden","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","27","x","x","0","x","x","x","x","0","0","x"
"201617","Greenwich","Total","4","0","x","0","0","0","x","0","0","0","x","4","481","139","131","371","52","51","23","18","48","58","541","459"
"201617","Greenwich","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","72","65","10","26","x","3","0","0","5","x","92","21"
"201617","Greenwich","State-funded secondary","4","0","x","0","0","0","x","0","0","0","x","4","390","38","103","306","45","36","23","17","22","57","384","413"
"201617","Greenwich","Special","0","0","0","0","0","0","0","0","0","0","0","0","19","36","18","39","6","12","0","x","21","0","65","25"
"201617","Hackney","Total","4","4","7","0","0","0","x","3","0","0","6","17","336","89","84","190","21","21","8","18","27","35","417","678"
"201617","Hackney","State-funded primary","x","x","0","0","0","0","0","0","0","0","x","0","45","61","10","23","0","0","x","0","14","3","67","10"
