"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201516","total","National",NA,NA,"0.08","4.29","2.11","England"
"201516","total","Region","North East",NA,"0.08","4.87","2.01","North East"
"201516","total","Region","North West",NA,"0.11","4.15","2.11","North West"
"201516","total","Region","Yorkshire and the Humber",NA,"0.07","6.19","2.47","Yorkshire and the Humber"
"201516","total","Region","East Midlands",NA,"0.08","4.36","2.07","East Midlands"
"201516","total","Region","West Midlands",NA,"0.12","4.24","2.28","West Midlands"
"201516","total","Region","East of England",NA,"0.07","3.88","1.95","East of England"
"201516","total","Region","South East",NA,"0.06","4.07","1.98","South East"
"201516","total","Region","South West",NA,"0.09","4.52","2.15","South West"
"201516","total","Region","Inner London",NA,"0.08","3.71","2.28","Inner London"
"201516","total","Region","Outer London",NA,"0.07","3.17","1.9","Outer London"
"201516","total","Local authority","Inner London","City of London","0","2.8","x","City of London"
"201516","total","Local authority","Inner London","Camden","0.13","4.9","2.89","Camden"
"201516","total","Local authority","Outer London","Greenwich","0.03","4.7","2.6","Greenwich"
"201516","total","Local authority","Inner London","Hackney","0.08","6.13","3.6","Hackney"
"201516","total","Local authority","Inner London","Hammersmith and Fulham","0.09","3.37","2.24","Hammersmith and Fulham"
"201516","total","Local authority","Inner London","Islington","0.12","4.97","2.74","Islington"
"201516","total","Local authority","Inner London","Kensington and Chelsea","0.11","3.74","2.35","Kensington and Chelsea"
"201516","total","Local authority","Inner London","Lambeth","0.09","2.58","1.63","Lambeth"
"201516","total","Local authority","Inner London","Lewisham","0.19","4.05","2.57","Lewisham"
"201516","total","Local authority","Inner London","Southwark","0.06","3.59","2.17","Southwark"
"201516","total","Local authority","Inner London","Tower Hamlets","0.02","2.84","1.73","Tower Hamlets"
"201516","total","Local authority","Inner London","Wandsworth","0.08","2.65","1.74","Wandsworth"
"201516","total","Local authority","Inner London","Westminster","0.06","4.26","2.74","Westminster"
"201516","total","Local authority","Outer London","Barking and Dagenham","0.05","1.94","1.22","Barking and Dagenham"
"201516","total","Local authority","Outer London","Barnet","0.05","2.83","1.91","Barnet"
"201516","total","Local authority","Outer London","Bexley","0.09","4.59","2.21","Bexley"
"201516","total","Local authority","Outer London","Brent","0.1","3.9","2.25","Brent"
"201516","total","Local authority","Outer London","Bromley","0.08","1.71","1.09","Bromley"
"201516","total","Local authority","Outer London","Croydon","0.04","3.3","2.23","Croydon"
"201516","total","Local authority","Outer London","Ealing","0.13","2.84","1.75","Ealing"
"201516","total","Local authority","Outer London","Enfield","0.09","4.7","2.79","Enfield"
"201516","total","Local authority","Inner London","Haringey","0.07","3.94","2.41","Haringey"
"201516","total","Local authority","Outer London","Harrow","0.07","1.99","1.45","Harrow"
"201516","total","Local authority","Outer London","Havering","0.07","2.93","1.94","Havering"
"201516","total","Local authority","Outer London","Hillingdon","0.08","3.37","1.85","Hillingdon"
"201516","total","Local authority","Outer London","Hounslow","0.08","3.47","2.08","Hounslow"
"201516","total","Local authority","Outer London","Kingston upon Thames","0.01","1.83","1.12","Kingston upon Thames"
"201516","total","Local authority","Outer London","Merton","0.06","2.71","1.62","Merton"
"201516","total","Local authority","Inner London","Newham","0.05","2.87","1.79","Newham"
"201516","total","Local authority","Outer London","Redbridge","0.07","2.72","1.66","Redbridge"
"201516","total","Local authority","Outer London","Richmond upon Thames","0.06","2.44","1.25","Richmond upon Thames"
"201516","total","Local authority","Outer London","Sutton","0.06","3.23","1.75","Sutton"
"201516","total","Local authority","Outer London","Waltham Forest","0.04","3.69","2.32","Waltham Forest"
"201516","total","Local authority","West Midlands","Birmingham","0.13","3.91","2.51","Birmingham"
"201516","total","Local authority","West Midlands","Coventry","0.07","4.08","2.15","Coventry"
"201516","total","Local authority","West Midlands","Dudley","0.17","4.81","2.53","Dudley"
"201516","total","Local authority","West Midlands","Sandwell","0.14","4.61","2.61","Sandwell"
"201516","total","Local authority","West Midlands","Solihull","0.18","4.6","2.4","Solihull"
"201516","total","Local authority","West Midlands","Walsall","0.16","4.57","2.25","Walsall"
"201516","total","Local authority","West Midlands","Wolverhampton","0.15","4.43","2.32","Wolverhampton"
"201516","total","Local authority","North West","Knowsley","0.02","5.29","2.61","Knowsley"
"201516","total","Local authority","North West","Liverpool","0.15","3.58","2.27","Liverpool"
"201516","total","Local authority","North West","St. Helens","x","4.72","2.39","St. Helens"
"201516","total","Local authority","North West","Sefton","0.07","3.24","1.89","Sefton"
"201516","total","Local authority","North West","Wirral","0.11","4.05","2.14","Wirral"
"201516","total","Local authority","North West","Bolton","0.1","4.48","2.15","Bolton"
"201516","total","Local authority","North West","Bury","0.19","3.7","1.98","Bury"
"201516","total","Local authority","North West","Manchester","0.09","5.49","2.56","Manchester"
"201516","total","Local authority","North West","Oldham","0.18","3.94","2.01","Oldham"
"201516","total","Local authority","North West","Rochdale","0.17","4.11","2.25","Rochdale"
"201516","total","Local authority","North West","Salford","0.18","4.11","2.25","Salford"
"201516","total","Local authority","North West","Stockport","0.1","4.05","2.06","Stockport"
"201516","total","Local authority","North West","Tameside","0.22","5.49","2.76","Tameside"
"201516","total","Local authority","North West","Trafford","0.12","2.95","1.73","Trafford"
