"year","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"200607","Total","21864","7526970","8680","0.12","425590","5.65","227125","3.02"
"200607","state-funded primary","17378","4110750","970","0.02","45720","1.11","23650","0.58"
"200607","state-funded secondary","3420","3325625","7520","0.23","363270","10.92","197140","5.93"
"200607","special","1065","90595","165","0.18","16600","18.32","6335","6.99"
"200607","dummy","1","0","20",".","0",".","0","."
"200708","Total","21641","7475665","8125","0.11","383830","5.13","204885","2.74"
"200708","state-funded primary","17208","4090400","965","0.02","43295","1.06","22460","0.55"
"200708","state-funded secondary","3384","3294575","6995","0.21","324185","9.84","176160","5.35"
"200708","special","1049","90685","165","0.18","16355","18.03","6260","6.91"
"200809","Total","21685","7446640","6545","0.09","363275","4.88","194700","2.61"
"200809","state-funded primary","17173","4077350","720","0.02","39510","0.97","20640","0.51"
"200809","state-funded secondary","3456","3278130","5705","0.17","307840","9.39","167910","5.12"
"200809","special","1056","91165","120","0.13","15930","17.47","6150","6.75"
"200910","Total","21352","7466885","5740","0.08","331380","4.44","179755","2.41"
"200910","state-funded primary","16973","4096580","620","0.02","37210","0.91","19400","0.47"
"200910","state-funded secondary","3336","3278485","5020","0.15","279260","8.52","154475","4.71"
"200910","special","1043","91815","100","0.11","14905","16.23","5885","6.41"
"201011","Total","21228","7493305","5080","0.07","324105","4.33","174280","2.33"
"201011","state-funded primary","16884","4137755","605","0.01","37790","0.91","19730","0.48"
"201011","state-funded secondary","3312","3262635","4370","0.13","271975","8.34","148900","4.56"
"201011","special","1032","92920","110","0.12","14340","15.44","5650","6.08"
"201112","Total","21133","7546455","5165","0.07","304370","4.03","162400","2.15"
"201112","state-funded primary","16828","4217000","690","0.02","37790","0.9","19630","0.47"
"201112","state-funded secondary","3279","3234875","4390","0.14","252215","7.8","137065","4.24"
"201112","special","1026","94580","85","0.09","14370","15.19","5705","6.03"
"201213","Total","21157","7616870","4630","0.06","267520","3.51","146070","1.92"
"201213","state-funded primary","16836","4309580","665","0.02","37865","0.88","19385","0.45"
"201213","state-funded secondary","3302","3210120","3905","0.12","215560","6.72","121055","3.77"
"201213","special","1019","97170","65","0.07","14095","14.51","5630","5.8"
"201314","Total","21193","7698310","4950","0.06","269475","3.5","142845","1.86"
"201314","state-funded primary","16831","4416710","870","0.02","45005","1.02","21650","0.49"
"201314","state-funded secondary","3339","3181360","4005","0.13","210580","6.62","115675","3.64"
"201314","special","1023","100240","75","0.07","13890","13.86","5520","5.51"
"201415","Total","21234","7799005","5795","0.07","302975","3.88","154060","1.98"
"201415","state-funded primary","16799","4510310","915","0.02","49655","1.1","23630","0.52"
"201415","state-funded secondary","3404","3184730","4785","0.15","239240","7.51","124995","3.92"
"201415","special","1031","103970","90","0.09","14080","13.54","5435","5.23"
"201516","Total","21245","7916225","6685","0.08","339360","4.29","167125","2.11"
"201516","state-funded primary","16804","4615170","1145","0.02","55740","1.21","25765","0.56"
"201516","state-funded secondary","3409","3193420","5445","0.17","270135","8.46","135925","4.26"
"201516","special","1032","107635","90","0.08","13485","12.53","5440","5.05"
"201617","Total","21319","8025075","7720","0.1","381865","4.76","183475","2.29"
"201617","state-funded primary","16837","4689660","1255","0.03","64340","1.37","28940","0.62"
"201617","state-funded secondary","3451","3223090","6385","0.2","302890","9.4","148820","4.62"
"201617","special","1031","112325","80","0.07","14635","13.03","5715","5.09"
