AcademicYear,LA,LAEstab,SchoolName,URN
201718,202,2021048,The Thomas Coram Centre,100005
201718,202,2021101,Camden Primary Pupil Referral Unit,100007
201718,202,2022775,Gospel Oak Primary & Nursery School,100025
201718,202,2023340,Emmanuel,100030
201718,202,2023568,St. Paul's C.E. Primary,100046
201718,202,2024275,Hampstead School,100052
201718,202,2024285,Acland Burghley School,100053
201718,202,2027137,CCFL SPECIAL SCHOOL,100092
201718,203,2032071,Morden Mount,100114
201718,203,2032275,HALSTOW,143597
201718,203,2032471,Plumcroft Primary,100140
201718,203,2032662,Wyborne Primary School,100146
201718,203,2034077,Eltham Hill School,100182
201718,203,2034271,Stationers' Crown Woods Academy,141309
201718,204,2041051,Comet Nursery School & Children's Centre,100213
201718,204,2042003,Halley House,141750
201718,204,2042444,NORTHWOLD PRIMARY SCHOOL,141576
201718,204,2042487,Queensbridge Primary,100235
201718,204,2042592,Thomas Fairchild Community School,100243
201718,204,2042654,WOODBERRY DOWN PRY,100248
201718,204,2042872,Benthal Primary School,100260
201718,204,2043000,ST JOHN AND ST JAMES SCHOOL,132137
201718,204,2043572,ST. PAUL'S WITH ST. MICHAEL'S,100269
201718,204,2043659,St Scholastica's RC School,100274
200607,204,2044312,Homerton College of Technology,100280
201718,205,2052003,Ark Swift Primary Academy,139820
201213,205,2052089,Canberra Primary School,100325
201718,205,2052577,SULIVAN PRIMARY SCHOOL,143214
201718,205,2053354,HOLY CROSS RC PRIMARY,100345
201718,205,2053600,St. Stephen's CE JMI,100353
201718,205,2053648,St Thomas of Canterbury Catholic Primary School,100357
201718,205,2054315,Fulham Cross Girls' School & Languages College,139365
201415,205,2054319,Hurlingham and Chelsea School,100361
201718,205,2056906,Hammersmith Academy,136172
201718,206,2062251,Gillespie Primary School,100405
201718,206,2062596,Thornhill JMI,100425
201718,206,2062803,Tufnell Park JMI,100430
201718,206,2062805,Highbury Quadrant,100431
201718,206,2063527,St  Mary's Islington,100446
201718,206,2063606,St. Andrew's,100448
201718,206,2067001,The Bridge ILS,141605
201718,207,2071010,Golborne Children's Centre,100472
201718,207,2072060,Bousfield Primary School,100480
201718,207,2072121,Colville Primary School,100481
201718,207,2074000,Kensington Aldridge Academy,140212
201718,207,2074681,St Thomas More Language College,100502
201718,208,2082575,SUDBOURNE PRIMARY SCHOOL,100584
201718,208,2082783,Crown Lane Primary School,100593
201718,208,2082808,ALLEN EDWARDS PRIMARY SCHOOL,100598
201718,208,2082868,HERBERT MORRISON,100604
201718,208,2082903,Kings Avenue Primary School,133315
201718,208,2083403,St Andrews Church of England Primary School,100613
201718,208,2083499,St Lukes Primary School,100618
201718,208,2083641,ST. HELEN'S CATHOLIC,100623
201718,208,2084003,Trinity Academy,140966
201718,208,2085203,St Bede's Catholic Infant and Nursery School,100631
201718,208,2085403,ARCHBISHOP TENISON'S,100640
201718,209,2092000,Adamsrill Primary School,100671
201718,209,2092127,Cooper's Lane Primary School,100676
201718,209,2092197,Elfrida Primary School,100681
201718,209,2092267,Grinling Gibbons Primary School,100685
201718,209,2092307,Holbeach Primary School,100688
201718,209,2092342,John Stainer Community Primary School,100689
201718,209,2092869,Myatt Garden Primary School,100713
201718,209,2092878,Ashmead Primary School,100716
201718,209,2093301,All Saints Church of England Primary School,100719
201718,209,2093472,St John Baptist Southend Church of England Primary School,100728
201718,209,2093597,St Stephen's Church of England Primary School,100734
201718,209,2093650,St William of York Catholic Primary School,100737
201718,209,2094802,Bonus Pastor Catholic College,100752
201718,209,2095200,Turnham Primary Foundation School,100753
201718,209,2096906,Haberdashers' Aske's Knights Academy,135070
201718,210,2101104,Southwark Inclusive Learning Service,135260
201718,210,2102100,Charles Dickens Primary School,100781
201718,210,2102138,Crampton Primary School,100784
201718,210,2102257,Goodrich Community Primary School,100790
201718,210,2102293,Heber Primary School,100793
200708,210,2102344,Joseph Lancaster Primary School,100799
201718,210,2103435,St Francis RC Primary School,100826
200607,210,2104215,Walworth School,100843
201718,210,2105402,St Thomas the Apostle College,100857
